Company Name,Index,CALENDAR_YEAR,CALENDAR_QTR,USD_Value,Local_Currency,VAL_UNIT,Local_Value
Amazon,Total Asset,2022,Q3,428362,USD,Million,428362
Amazon,Cost of Goods Sold,2022,Q4,85640,USD,Million,85640
Amazon,Operating Expense,2022,Q4,146467,USD,Million,146467
Amazon,Operating Income,2022,Q4,2737,USD,Million,2737
Amazon,Revenue,2022,Q4,149204,USD,Million,149204
Amazon,Tax Expense,2022,Q4,-1227,USD,Million,-1227
Amazon,Total Asset,2022,Q4,462675,USD,Million,462675
Amazon,Cost of Goods Sold,2023,Q1,67791,USD,Million,67791
Amazon,Operating Expense,2023,Q1,122584,USD,Million,122584
Amazon,Operating Income,2023,Q1,4774,USD,Million,4774
Amazon,Revenue,2023,Q1,127358,USD,Million,127358
Amazon,Tax Expense,2023,Q1,948,USD,Million,948
Amazon,Total Asset,2023,Q1,464378,USD,Million,464378
Amazon,Cost of Goods Sold,2023,Q2,69373,USD,Million,69373
Amazon,Operating Expense,2023,Q2,126702,USD,Million,126702
Amazon,Operating Income,2023,Q2,7681,USD,Million,7681
Amazon,Revenue,2023,Q2,134383,USD,Million,134383
Amazon,Tax Expense,2023,Q2,804,USD,Million,804
Amazon,Total Asset,2023,Q2,477607,USD,Million,477607
Amazon,Cost of Goods Sold,2023,Q3,75022,USD,Million,75022
Amazon,Operating Expense,2023,Q3,131895,USD,Million,131895
Amazon,Operating Income,2023,Q3,11188,USD,Million,11188
Amazon,Revenue,2023,Q3,143083,USD,Million,143083
Amazon,Tax Expense,2023,Q3,2306,USD,Million,2306
Amazon,Total Asset,2023,Q3,486883,USD,Million,486883
Amazon,Cost of Goods Sold,2023,Q4,92553,USD,Million,92553
Amazon,Operating Expense,2023,Q4,156752,USD,Million,156752
Amazon,Operating Income,2023,Q4,13209,USD,Million,13209
Amazon,Revenue,2023,Q4,169961,USD,Million,169961
Amazon,Tax Expense,2023,Q4,3062,USD,Million,3062
Amazon,Total Asset,2023,Q4,527854,USD,Million,527854
Amazon,Cost of Goods Sold,2024,Q1,72633,USD,Million,72633
Amazon,Operating Expense,2024,Q1,128006,USD,Million,128006
Amazon,Operating Income,2024,Q1,15307,USD,Million,15307
Amazon,Revenue,2024,Q1,143313,USD,Million,143313
Amazon,Tax Expense,2024,Q1,2467,USD,Million,2467
Amazon,Total Asset,2024,Q1,530969,USD,Million,530969
Amazon,Cost of Goods Sold,2024,Q2,73785,USD,Million,73785
Amazon,Operating Expense,2024,Q2,133305,USD,Million,133305
Amazon,Operating Income,2024,Q2,14672,USD,Million,14672
Amazon,Revenue,2024,Q2,147977,USD,Million,147977
Amazon,Tax Expense,2024,Q2,1767,USD,Million,1767
Amazon,Total Asset,2024,Q2,554818,USD,Million,554818
Amazon,Cost of Goods Sold,2024,Q3,80977,USD,Million,80977
Amazon,Operating Expense,2024,Q3,141466,USD,Million,141466
Amazon,Operating Income,2024,Q3,17411,USD,Million,17411
Amazon,Revenue,2024,Q3,158877,USD,Million,158877
Amazon,Tax Expense,2024,Q3,2706,USD,Million,2706
Amazon,Total Asset,2024,Q3,584626,USD,Million,584626
AMD,Cost of Goods Sold,2020,Q1,968,USD,Million,968
AMD,Operating Expense,2020,Q1,641,USD,Million,641
AMD,Operating Income,2020,Q1,177,USD,Million,177
AMD,Revenue,2020,Q1,1786,USD,Million,1786
AMD,Tax Expense,2020,Q1,6,USD,Million,6
AMD,Total Asset,2020,Q1,5864,USD,Million,5864
AMD,Cost of Goods Sold,2020,Q2,1084,USD,Million,1084
AMD,Operating Expense,2020,Q2,675,USD,Million,675
AMD,Operating Income,2020,Q2,173,USD,Million,173
AMD,Revenue,2020,Q2,1932,USD,Million,1932
AMD,Tax Expense,2020,Q2,4,USD,Million,4
AMD,Total Asset,2020,Q2,6583,USD,Million,6583
AMD,Cost of Goods Sold,2020,Q3,1571,USD,Million,1571
AMD,Operating Expense,2020,Q3,781,USD,Million,781
AMD,Operating Income,2020,Q3,449,USD,Million,449
AMD,Revenue,2020,Q3,2801,USD,Million,2801
AMD,Tax Expense,2020,Q3,12,USD,Million,12
AMD,Total Asset,2020,Q3,7023,USD,Million,7023
AMD,Cost of Goods Sold,2020,Q4,1793,USD,Million,1793
AMD,Operating Expense,2020,Q4,881,USD,Million,881
AMD,Operating Income,2020,Q4,570,USD,Million,570
AMD,Revenue,2020,Q4,3244,USD,Million,3244
AMD,Tax Expense,2020,Q4,-1232,USD,Million,-1232
AMD,Total Asset,2020,Q4,8962,USD,Million,8962
AMD,Cost of Goods Sold,2021,Q1,1858,USD,Million,1858
AMD,Operating Expense,2021,Q1,925,USD,Million,925
AMD,Operating Income,2021,Q1,662,USD,Million,662
AMD,Revenue,2021,Q1,3445,USD,Million,3445
AMD,Tax Expense,2021,Q1,89,USD,Million,89
AMD,Total Asset,2021,Q1,10047,USD,Million,10047
AMD,Cost of Goods Sold,2021,Q2,2020,USD,Million,2020
AMD,Operating Expense,2021,Q2,999,USD,Million,999
AMD,Operating Income,2021,Q2,831,USD,Million,831
AMD,Revenue,2021,Q2,3850,USD,Million,3850
AMD,Tax Expense,2021,Q2,113,USD,Million,113
AMD,Total Asset,2021,Q2,10691,USD,Million,10691
AMD,Cost of Goods Sold,2021,Q3,2227,USD,Million,2227
AMD,Operating Expense,2021,Q3,1138,USD,Million,1138
AMD,Operating Income,2021,Q3,948,USD,Million,948
AMD,Revenue,2021,Q3,4313,USD,Million,4313
AMD,Tax Expense,2021,Q3,82,USD,Million,82
AMD,Total Asset,2021,Q3,11153,USD,Million,11153
AMD,Cost of Goods Sold,2021,Q4,2400,USD,Million,2400
AMD,Operating Expense,2021,Q4,1219,USD,Million,1219
AMD,Operating Income,2021,Q4,1207,USD,Million,1207
AMD,Revenue,2021,Q4,4826,USD,Million,4826
AMD,Tax Expense,2021,Q4,229,USD,Million,229
AMD,Total Asset,2021,Q4,12419,USD,Million,12419
AMD,Cost of Goods Sold,2022,Q1,2883,USD,Million,2883
AMD,Operating Expense,2022,Q1,1867,USD,Million,1867
AMD,Operating Income,2022,Q1,951,USD,Million,951
AMD,Revenue,2022,Q1,5887,USD,Million,5887
AMD,Tax Expense,2022,Q1,113,USD,Million,113
AMD,Total Asset,2022,Q1,66915,USD,Million,66915
AMD,Cost of Goods Sold,2022,Q2,3115,USD,Million,3115
AMD,Operating Expense,2022,Q2,2502,USD,Million,2502
AMD,Operating Income,2022,Q2,526,USD,Million,526
AMD,Revenue,2022,Q2,6550,USD,Million,6550
AMD,Tax Expense,2022,Q2,54,USD,Million,54
AMD,Total Asset,2022,Q2,67502,USD,Million,67502
AMD,Cost of Goods Sold,2022,Q3,2799,USD,Million,2799
AMD,Operating Expense,2022,Q3,2418,USD,Million,2418
AMD,Operating Income,2022,Q3,-64,USD,Million,-64
AMD,Revenue,2022,Q3,5565,USD,Million,5565
AMD,Tax Expense,2022,Q3,-135,USD,Million,-135
AMD,Total Asset,2022,Q3,67811,USD,Million,67811
AMD,Cost of Goods Sold,2022,Q4,2753,USD,Million,2753
AMD,Operating Expense,2022,Q4,2552,USD,Million,2552
AMD,Operating Income,2022,Q4,-149,USD,Million,-149
AMD,Revenue,2022,Q4,5599,USD,Million,5599
AMD,Tax Expense,2022,Q4,-154,USD,Million,-154
AMD,Total Asset,2022,Q4,67580,USD,Million,67580
AMD,Cost of Goods Sold,2023,Q1,2689,USD,Million,2689
AMD,Operating Expense,2023,Q1,2504,USD,Million,2504
AMD,Operating Income,2023,Q1,-145,USD,Million,-145
AMD,Revenue,2023,Q1,5353,USD,Million,5353
AMD,Tax Expense,2023,Q1,13,USD,Million,13
AMD,Total Asset,2023,Q1,67634,USD,Million,67634
AMD,Cost of Goods Sold,2023,Q2,2704,USD,Million,2704
AMD,Operating Expense,2023,Q2,2463,USD,Million,2463
AMD,Operating Income,2023,Q2,-20,USD,Million,-20
AMD,Revenue,2023,Q2,5359,USD,Million,5359
AMD,Tax Expense,2023,Q2,-23,USD,Million,-23
AMD,Total Asset,2023,Q2,67967,USD,Million,67967
AMD,Cost of Goods Sold,2023,Q3,2843,USD,Million,2843
AMD,Operating Expense,2023,Q3,2523,USD,Million,2523
AMD,Operating Income,2023,Q3,224,USD,Million,224
AMD,Revenue,2023,Q3,5800,USD,Million,5800
AMD,Tax Expense,2023,Q3,-39,USD,Million,-39
AMD,Total Asset,2023,Q3,67626,USD,Million,67626
AMD,Cost of Goods Sold,2023,Q4,3042,USD,Million,3042
AMD,Operating Expense,2023,Q4,2569,USD,Million,2569
AMD,Operating Income,2023,Q4,342,USD,Million,342
AMD,Revenue,2023,Q4,6168,USD,Million,6168
AMD,Tax Expense,2023,Q4,-297,USD,Million,-297
AMD,Total Asset,2023,Q4,67885,USD,Million,67885
AMD,Cost of Goods Sold,2024,Q1,2683,USD,Million,2683
AMD,Operating Expense,2024,Q1,2524,USD,Million,2524
AMD,Operating Income,2024,Q1,36,USD,Million,36
AMD,Revenue,2024,Q1,5473,USD,Million,5473
AMD,Tax Expense,2024,Q1,-52,USD,Million,-52
AMD,Total Asset,2024,Q1,67895,USD,Million,67895
AMD,Cost of Goods Sold,2024,Q2,2740,USD,Million,2740
AMD,Operating Expense,2024,Q2,2595,USD,Million,2595
AMD,Operating Income,2024,Q2,269,USD,Million,269
AMD,Revenue,2024,Q2,5835,USD,Million,5835
AMD,Tax Expense,2024,Q2,41,USD,Million,41
AMD,Total Asset,2024,Q2,67886,USD,Million,67886
AMD,Cost of Goods Sold,2024,Q3,3167,USD,Million,3167
AMD,Operating Expense,2024,Q3,2695,USD,Million,2695
AMD,Operating Income,2024,Q3,724,USD,Million,724
AMD,Revenue,2024,Q3,6819,USD,Million,6819
AMD,Tax Expense,2024,Q3,-27,USD,Million,-27
AMD,Total Asset,2024,Q3,69636,USD,Million,69636
Amkor,Cost of Goods Sold,2020,Q1,963.71,USD,Million,963.71
Amkor,Operating Expense,2020,Q1,104.83,USD,Million,104.83
Amkor,Operating Income,2020,Q1,84.07,USD,Million,84.07
Amkor,Revenue,2020,Q1,1152.62,USD,Million,1152.62
Amkor,Tax Expense,2020,Q1,4.85,USD,Million,4.85
Amkor,Total Asset,2020,Q1,4811.64,USD,Million,4811.64
Amkor,Cost of Goods Sold,2020,Q2,980.59,USD,Million,980.59
Amkor,Operating Expense,2020,Q2,105.8,USD,Million,105.8
Amkor,Operating Income,2020,Q2,86.52,USD,Million,86.52
Amkor,Revenue,2020,Q2,1172.91,USD,Million,1172.91
Amkor,Tax Expense,2020,Q2,12.9,USD,Million,12.9
Amkor,Total Asset,2020,Q2,5115.39,USD,Million,5115.39
Amkor,Cost of Goods Sold,2020,Q3,1112.94,USD,Million,1112.94
Amkor,Operating Expense,2020,Q3,113.62,USD,Million,113.62
Amkor,Operating Income,2020,Q3,127.47,USD,Million,127.47
Amkor,Revenue,2020,Q3,1354.02,USD,Million,1354.02
Amkor,Tax Expense,2020,Q3,15.75,USD,Million,15.75
Amkor,Total Asset,2020,Q3,5136.62,USD,Million,5136.62
Amkor,Cost of Goods Sold,2020,Q4,1092.54,USD,Million,1092.54
Amkor,Operating Expense,2020,Q4,119.32,USD,Million,119.32
Amkor,Operating Income,2020,Q4,159.18,USD,Million,159.18
Amkor,Revenue,2020,Q4,1371.04,USD,Million,1371.04
Amkor,Tax Expense,2020,Q4,12.68,USD,Million,12.68
Amkor,Total Asset,2020,Q4,5022.31,USD,Million,5022.31
Amkor,Cost of Goods Sold,2021,Q1,1060.62,USD,Million,1060.62
Amkor,Operating Expense,2021,Q1,121.09,USD,Million,121.09
Amkor,Operating Income,2021,Q1,144.45,USD,Million,144.45
Amkor,Revenue,2021,Q1,1326.15,USD,Million,1326.15
Amkor,Tax Expense,2021,Q1,11.67,USD,Million,11.67
Amkor,Total Asset,2021,Q1,5053.47,USD,Million,5053.47
Amkor,Cost of Goods Sold,2021,Q2,1133.71,USD,Million,1133.71
Amkor,Operating Expense,2021,Q2,117.7,USD,Million,117.7
Amkor,Operating Income,2021,Q2,155.12,USD,Million,155.12
Amkor,Revenue,2021,Q2,1406.54,USD,Million,1406.54
Amkor,Tax Expense,2021,Q2,15.99,USD,Million,15.99
Amkor,Total Asset,2021,Q2,5567.78,USD,Million,5567.78
Amkor,Cost of Goods Sold,2021,Q3,1356.17,USD,Million,1356.17
Amkor,Operating Expense,2021,Q3,113.37,USD,Million,113.37
Amkor,Operating Income,2021,Q3,211.46,USD,Million,211.46
Amkor,Revenue,2021,Q3,1681,USD,Million,1681
Amkor,Tax Expense,2021,Q3,17.22,USD,Million,17.22
Amkor,Total Asset,2021,Q3,5770.45,USD,Million,5770.45
Amkor,Cost of Goods Sold,2021,Q4,1362.28,USD,Million,1362.28
Amkor,Operating Expense,2021,Q4,109.96,USD,Million,109.96
Amkor,Operating Income,2021,Q4,252.41,USD,Million,252.41
Amkor,Revenue,2021,Q4,1724.64,USD,Million,1724.64
Amkor,Tax Expense,2021,Q4,24.58,USD,Million,24.58
Amkor,Total Asset,2021,Q4,6038.55,USD,Million,6038.55
Amkor,Cost of Goods Sold,2022,Q1,1271.49,USD,Million,1271.49
Amkor,Operating Expense,2022,Q1,115.32,USD,Million,115.32
Amkor,Operating Income,2022,Q1,210.01,USD,Million,210.01
Amkor,Revenue,2022,Q1,1596.82,USD,Million,1596.82
Amkor,Tax Expense,2022,Q1,29.73,USD,Million,29.73
Amkor,Total Asset,2022,Q1,6225.79,USD,Million,6225.79
Amkor,Cost of Goods Sold,2022,Q2,1255.71,USD,Million,1255.71
Amkor,Operating Expense,2022,Q2,106.35,USD,Million,106.35
Amkor,Operating Income,2022,Q2,142.81,USD,Million,142.81
Amkor,Revenue,2022,Q2,1504.87,USD,Million,1504.87
Amkor,Tax Expense,2022,Q2,10.79,USD,Million,10.79
Amkor,Total Asset,2022,Q2,6390.66,USD,Million,6390.66
Amkor,Cost of Goods Sold,2022,Q3,1662.46,USD,Million,1662.46
Amkor,Operating Expense,2022,Q3,101.94,USD,Million,101.94
Amkor,Operating Income,2022,Q3,319.29,USD,Million,319.29
Amkor,Revenue,2022,Q3,2083.69,USD,Million,2083.69
Amkor,Tax Expense,2022,Q3,3.64,USD,Million,3.64
Amkor,Total Asset,2022,Q3,6693.92,USD,Million,6693.92
Amkor,Cost of Goods Sold,2022,Q4,1571.94,USD,Million,1571.94
Amkor,Operating Expense,2022,Q4,109.19,USD,Million,109.19
Amkor,Operating Income,2022,Q4,225.08,USD,Million,225.08
Amkor,Revenue,2022,Q4,1906.21,USD,Million,1906.21
Amkor,Tax Expense,2022,Q4,45.73,USD,Million,45.73
Amkor,Total Asset,2022,Q4,6821.76,USD,Million,6821.76
Amkor,Cost of Goods Sold,2023,Q1,1277.12,USD,Million,1277.12
Amkor,Operating Expense,2023,Q1,125.72,USD,Million,125.72
Amkor,Operating Income,2023,Q1,68.7,USD,Million,68.7
Amkor,Revenue,2023,Q1,1471.54,USD,Million,1471.54
Amkor,Tax Expense,2023,Q1,10.86,USD,Million,10.86
Amkor,Total Asset,2023,Q1,6581.79,USD,Million,6581.79
Amkor,Cost of Goods Sold,2023,Q2,1271.05,USD,Million,1271.05
Amkor,Operating Expense,2023,Q2,110.55,USD,Million,110.55
Amkor,Operating Income,2023,Q2,76.32,USD,Million,76.32
Amkor,Revenue,2023,Q2,1457.92,USD,Million,1457.92
Amkor,Tax Expense,2023,Q2,9.41,USD,Million,9.41
Amkor,Total Asset,2023,Q2,6638.18,USD,Million,6638.18
Amkor,Cost of Goods Sold,2023,Q3,1539.04,USD,Million,1539.04
Amkor,Operating Expense,2023,Q3,116.16,USD,Million,116.16
Amkor,Operating Income,2023,Q3,166.6,USD,Million,166.6
Amkor,Revenue,2023,Q3,1821.79,USD,Million,1821.79
Amkor,Tax Expense,2023,Q3,28.92,USD,Million,28.92
Amkor,Total Asset,2023,Q3,6734.85,USD,Million,6734.85
Amkor,Cost of Goods Sold,2023,Q4,1472.7,USD,Million,1472.7
Amkor,Operating Expense,2023,Q4,120.44,USD,Million,120.44
Amkor,Operating Income,2023,Q4,158.66,USD,Million,158.66
Amkor,Revenue,2023,Q4,1751.81,USD,Million,1751.81
Amkor,Tax Expense,2023,Q4,32.52,USD,Million,32.52
Amkor,Total Asset,2023,Q4,6771.12,USD,Million,6771.12
Amkor,Cost of Goods Sold,2024,Q1,1163.87,USD,Million,1163.87
Amkor,Operating Expense,2024,Q1,128.52,USD,Million,128.52
Amkor,Operating Income,2024,Q1,73.13,USD,Million,73.13
Amkor,Revenue,2024,Q1,1365.51,USD,Million,1365.51
Amkor,Tax Expense,2024,Q1,12.2,USD,Million,12.2
Amkor,Total Asset,2024,Q1,6685.07,USD,Million,6685.07
Amkor,Cost of Goods Sold,2024,Q2,1249.1,USD,Million,1249.1
Amkor,Operating Expense,2024,Q2,130.85,USD,Million,130.85
Amkor,Operating Income,2024,Q2,81.53,USD,Million,81.53
Amkor,Revenue,2024,Q2,1461.47,USD,Million,1461.47
Amkor,Tax Expense,2024,Q2,14.31,USD,Million,14.31
Amkor,Total Asset,2024,Q2,6865.55,USD,Million,6865.55
Amkor,Cost of Goods Sold,2024,Q3,1589.11,USD,Million,1589.11
Amkor,Operating Expense,2024,Q3,123.12,USD,Million,123.12
Amkor,Operating Income,2024,Q3,149.37,USD,Million,149.37
Amkor,Revenue,2024,Q3,1861.59,USD,Million,1861.59
Amkor,Tax Expense,2024,Q3,19.18,USD,Million,19.18
Amkor,Total Asset,2024,Q3,7029.09,USD,Million,7029.09
Apple,Cost of Goods Sold,2020,Q1,35943,USD,Million,35943
Apple,Operating Expense,2020,Q1,9517,USD,Million,9517
Apple,Operating Income,2020,Q1,12853,USD,Million,12853
Apple,Revenue,2020,Q1,58313,USD,Million,58313
Apple,Tax Expense,2020,Q1,1886,USD,Million,1886
Apple,Total Asset,2020,Q1,320400,USD,Million,320400
Apple,Cost of Goods Sold,2020,Q2,37005,USD,Million,37005
Apple,Operating Expense,2020,Q2,9589,USD,Million,9589
Apple,Operating Income,2020,Q2,13091,USD,Million,13091
Apple,Revenue,2020,Q2,59685,USD,Million,59685
Apple,Tax Expense,2020,Q2,1884,USD,Million,1884
Apple,Total Asset,2020,Q2,317344,USD,Million,317344
Apple,Cost of Goods Sold,2020,Q3,40009,USD,Million,40009
Apple,Operating Expense,2020,Q3,9914,USD,Million,9914
Apple,Operating Income,2020,Q3,14775,USD,Million,14775
Apple,Revenue,2020,Q3,64698,USD,Million,64698
Apple,Tax Expense,2020,Q3,2228,USD,Million,2228
Apple,Total Asset,2020,Q3,323888,USD,Million,323888
Apple,Cost of Goods Sold,2020,Q4,67111,USD,Million,67111
Apple,Operating Expense,2020,Q4,10794,USD,Million,10794
Apple,Operating Income,2020,Q4,33534,USD,Million,33534
Apple,Revenue,2020,Q4,111439,USD,Million,111439
Apple,Tax Expense,2020,Q4,4824,USD,Million,4824
Apple,Total Asset,2020,Q4,354054,USD,Million,354054
Apple,Cost of Goods Sold,2021,Q1,51505,USD,Million,51505
Apple,Operating Expense,2021,Q1,10576,USD,Million,10576
Apple,Operating Income,2021,Q1,27503,USD,Million,27503
Apple,Revenue,2021,Q1,89584,USD,Million,89584
Apple,Tax Expense,2021,Q1,4381,USD,Million,4381
Apple,Total Asset,2021,Q1,337158,USD,Million,337158
Apple,Cost of Goods Sold,2021,Q2,46179,USD,Million,46179
Apple,Operating Expense,2021,Q2,11129,USD,Million,11129
Apple,Operating Income,2021,Q2,24126,USD,Million,24126
Apple,Revenue,2021,Q2,81434,USD,Million,81434
Apple,Tax Expense,2021,Q2,2625,USD,Million,2625
Apple,Total Asset,2021,Q2,329840,USD,Million,329840
Apple,Cost of Goods Sold,2021,Q3,48186,USD,Million,48186
Apple,Operating Expense,2021,Q3,11388,USD,Million,11388
Apple,Operating Income,2021,Q3,23786,USD,Million,23786
Apple,Revenue,2021,Q3,83360,USD,Million,83360
Apple,Tax Expense,2021,Q3,2697,USD,Million,2697
Apple,Total Asset,2021,Q3,351002,USD,Million,351002
Apple,Cost of Goods Sold,2021,Q4,69702,USD,Million,69702
Apple,Operating Expense,2021,Q4,12755,USD,Million,12755
Apple,Operating Income,2021,Q4,41488,USD,Million,41488
Apple,Revenue,2021,Q4,123945,USD,Million,123945
Apple,Tax Expense,2021,Q4,6611,USD,Million,6611
Apple,Total Asset,2021,Q4,381191,USD,Million,381191
Apple,Cost of Goods Sold,2022,Q1,54719,USD,Million,54719
Apple,Operating Expense,2022,Q1,12580,USD,Million,12580
Apple,Operating Income,2022,Q1,29979,USD,Million,29979
Apple,Revenue,2022,Q1,97278,USD,Million,97278
Apple,Tax Expense,2022,Q1,5129,USD,Million,5129
Apple,Total Asset,2022,Q1,350662,USD,Million,350662
Apple,Cost of Goods Sold,2022,Q2,47074,USD,Million,47074
Apple,Operating Expense,2022,Q2,12809,USD,Million,12809
Apple,Operating Income,2022,Q2,23076,USD,Million,23076
Apple,Revenue,2022,Q2,82959,USD,Million,82959
Apple,Tax Expense,2022,Q2,3624,USD,Million,3624
Apple,Total Asset,2022,Q2,336309,USD,Million,336309
Apple,Cost of Goods Sold,2022,Q3,52051,USD,Million,52051
Apple,Operating Expense,2022,Q3,13201,USD,Million,13201
Apple,Operating Income,2022,Q3,24894,USD,Million,24894
Apple,Revenue,2022,Q3,90146,USD,Million,90146
Apple,Tax Expense,2022,Q3,3936,USD,Million,3936
Apple,Total Asset,2022,Q3,352755,USD,Million,352755
Apple,Cost of Goods Sold,2022,Q4,66822,USD,Million,66822
Apple,Operating Expense,2022,Q4,14316,USD,Million,14316
Apple,Operating Income,2022,Q4,36016,USD,Million,36016
Apple,Revenue,2022,Q4,117154,USD,Million,117154
Apple,Tax Expense,2022,Q4,5625,USD,Million,5625
Apple,Total Asset,2022,Q4,346747,USD,Million,346747
Apple,Cost of Goods Sold,2023,Q1,52860,USD,Million,52860
Apple,Operating Expense,2023,Q1,13658,USD,Million,13658
Apple,Operating Income,2023,Q1,28318,USD,Million,28318
Apple,Revenue,2023,Q1,94836,USD,Million,94836
Apple,Tax Expense,2023,Q1,4222,USD,Million,4222
Apple,Total Asset,2023,Q1,332160,USD,Million,332160
Apple,Cost of Goods Sold,2023,Q2,45384,USD,Million,45384
Apple,Operating Expense,2023,Q2,13415,USD,Million,13415
Apple,Operating Income,2023,Q2,22998,USD,Million,22998
Apple,Revenue,2023,Q2,81797,USD,Million,81797
Apple,Tax Expense,2023,Q2,2852,USD,Million,2852
Apple,Total Asset,2023,Q2,335038,USD,Million,335038
Apple,Cost of Goods Sold,2023,Q3,49071,USD,Million,49071
Apple,Operating Expense,2023,Q3,13458,USD,Million,13458
Apple,Operating Income,2023,Q3,26969,USD,Million,26969
Apple,Revenue,2023,Q3,89498,USD,Million,89498
Apple,Tax Expense,2023,Q3,4042,USD,Million,4042
Apple,Total Asset,2023,Q3,352583,USD,Million,352583
Apple,Cost of Goods Sold,2023,Q4,64720,USD,Million,64720
Apple,Operating Expense,2023,Q4,14482,USD,Million,14482
Apple,Operating Income,2023,Q4,40373,USD,Million,40373
Apple,Revenue,2023,Q4,119575,USD,Million,119575
Apple,Tax Expense,2023,Q4,6407,USD,Million,6407
Apple,Total Asset,2023,Q4,353514,USD,Million,353514
Apple,Cost of Goods Sold,2024,Q1,48482,USD,Million,48482
Apple,Operating Expense,2024,Q1,14371,USD,Million,14371
Apple,Operating Income,2024,Q1,27900,USD,Million,27900
Apple,Revenue,2024,Q1,90753,USD,Million,90753
Apple,Tax Expense,2024,Q1,4422,USD,Million,4422
Apple,Total Asset,2024,Q1,337411,USD,Million,337411
Apple,Cost of Goods Sold,2024,Q2,46099,USD,Million,46099
Apple,Operating Expense,2024,Q2,14326,USD,Million,14326
